Run at 2023-11-11 22:30:16
=========
Time (s) |  Value
0.02     |  4.9873
0.18     |  7.4252
0.26     |  7.4932
0.34     |  1.8233
0.42     |  2.5332
0.49     |  7.2340
0.57     |  9.6418
0.65     |  1.1254
0.73     |  9.0179
0.80     |  2.8134
0.88     |  2.0657
0.96     |  8.0457
1.04     |  2.3841
1.12     |  4.9448
1.19     |  2.0381
1.27     |  4.6256
1.35     |  6.3106
1.43     |  7.9400
1.50     |  9.9813
1.58     |  0.5415
1.66     |  9.4371
1.74     |  0.1213
1.82     |  7.0690
1.89     |  7.6189
1.97     |  2.3920
2.05     |  1.8931
2.13     |  1.9848
2.21     |  0.6588
2.28     |  9.9671
2.36     |  6.9546
2.44     |  6.8360
2.52     |  6.6498
2.60     |  8.4026
2.67     |  3.0991
2.75     |  8.4239
2.83     |  7.4196
2.91     |  3.0311
2.99     |  9.3593
3.07     |  8.3145
3.15     |  7.0341
3.22     |  2.0583
3.30     |  0.3000
3.38     |  4.3504
3.46     |  3.1573
3.54     |  4.8752
3.62     |  8.3584
3.69     |  7.1321
3.77     |  6.6607
3.85     |  4.4033
3.93     |  3.5372
4.01     |  0.4721
4.08     |  6.2721
4.16     |  1.6687
4.24     |  0.6155
4.32     |  8.2912
4.40     |  1.0614
4.47     |  1.6594
4.55     |  9.3173
4.71     |  3.6981
4.79     |  2.4566
4.86     |  8.8979
4.94     |  2.3325
5.02     |  9.9706
5.10     |  1.5281
5.18     |  8.6207
5.25     |  4.6292
5.33     |  4.8259
5.41     |  2.8957
5.49     |  5.6844
5.57     |  1.5427
5.65     |  7.5087
5.72     |  4.6052
5.80     |  9.7047
5.88     |  2.4163
5.96     |  4.1078
6.03     |  2.8818
6.11     |  2.9454
6.19     |  0.0777
6.27     |  5.5510
6.35     |  4.6303
6.43     |  6.3189
6.50     |  8.0716
6.58     |  8.6616
6.66     |  9.9852
6.82     |  2.1484
7.01     |  3.6906
7.15     |  7.3795
7.23     |  5.4518
7.31     |  8.0419
7.39     |  3.0533
7.46     |  8.9561
7.54     |  9.2503
7.62     |  6.6547
7.70     |  0.5738
7.78     |  0.2236
7.85     |  0.0675
7.93     |  2.2085
8.01     |  6.1914
8.09     |  1.7948
8.17     |  7.4677
8.25     |  2.3305
8.32     |  0.5204
8.40     |  6.8534
8.48     |  0.3764
8.56     |  3.1989
8.63     |  8.4754
8.71     |  3.8967
8.79     |  7.2230
